"ENTREZID","SYMBOL"
"64577","ALDH8A1"
"121278","TPH2"
"7166","TPH1"
"438","ASMT"
"15","AANAT"
"11185","INMT"
"847","CAT"
"339896","GADL1"
"51380","CSAD"
"23417","MLYCD"
"84890","ADO"
"2326","FMO1"
"2327","FMO2"
"2330","FMO5"
"2328","FMO3"
"2329","FMO4"
"2686","GGT7"
"124975","GGT6"
"2678","GGT1"
"2687","GGT5"
"102724197","LOC102724197"
"5833","PCYT2"
"85465","SELENOI"
"10390","CEPT1"
"9468","PCYT1B"
"5130","PCYT1A"
"56994","CHPT1"
"51540","SCLY"
"7296","TXNRD1"
"114112","TXNRD3"
"10587","TXNRD2"
"22928","SEPHS2"
"22929","SEPHS1"
"118672","PSTK"
"51091","SEPSECS"
"4141","MARS1"
"92935","MARS2"
"80017","DGLUCY"
"79017","GGCT"
"79094","CHAC1"
"494143","CHAC2"
"26873","OPLAH"
"290","ANPEP"
"221357","GSTA5"
"2939","GSTA2"
"2941","GSTA4"
"119391","GSTO2"
"2948","GSTM4"
"2953","GSTT2"
"2952","GSTT1"
"2947","GSTM3"
"4257","MGST1"
"4259","MGST3"
"2944","GSTM1"
"2949","GSTM5"
"4258","MGST2"
"2938","GSTA1"
"2946","GSTM2"
"2940","GSTA3"
"9446","GSTO1"
"653689","GSTT2B"
"25774","GSTT4"
"2950","GSTP1"
"373156","GSTK1"
"27306","HPGDS"
"10314","LANCL1"
"9027","NAT8"
"2936","GSR"
"51060","TXNDC12"
"2879","GPX4"
"257202","GPX6"
"2882","GPX7"
"2877","GPX2"
"2878","GPX3"
"2876","GPX1"
"2880","GPX5"
"493869","GPX8"
"9588","PRDX6"
"57733","GBA3"
"2998","GYS2"
"2997","GYS1"
"2992","GYG1"
"8908","GYG2"
"2632","GBE1"
"5836","PYGL"
"5837","PYGM"
"5834","PYGB"
"178","AGL"
"278","AMY1C"
"279","AMY2A"
"276","AMY1A"
"280","AMY2B"
"277","AMY1B"
"124905666","LOC124905666"
"124905668","LOC124905668"
"128966568","LOC128966568"
"128966570","LOC128966570"
"11181","TREH"
"283209","PGM2L1"
"207063","DHRSX"
"22845","DOLK"
"1798","DPAGT1"
"29880","ALG5"
"79868","ALG13"
"199857","ALG14"
"8813","DPM1"
"8818","DPM2"
"54344","DPM3"
"56052","ALG1"
"85365","ALG2"
"440138","ALG11"
"10195","ALG3"
"79796","ALG9"
"79087","ALG12"
"29929","ALG6"
"79053","ALG8"
"84920","ALG10"
"144245","ALG10B"
"3703","STT3A"
"201595","STT3B"
"6184","RPN1"
"6185","RPN2"
"1603","DAD1"
"1650","DDOST"
"84061","MAGT1"
"7991","TUSC3"
"58505","OSTC"
"746","TMEM258"
"57171","DOLPP1"
"7841","MOGS"
"23193","GANAB"
"11253","MAN1B1"
"10905","MAN1A2"
"57134","MAN1C1"
"4121","MAN1A1"
"4245","MGAT1"
"4124","MAN2A1"
"4122","MAN2A2"
"4247","MGAT2"
"2530","FUT8"
"8703","B4GALT3"
"6480","ST6GAL1"
"84620","ST6GAL2"
"4248","MGAT3"
"11320","MGAT4A"
"11282","MGAT4B"
"152586","MGAT4D"
"4249","MGAT5"
"146664","MGAT5B"
"25834","MGAT4C"
"4758","NEU1"
"10825","NEU3"
"129807","NEU4"
"4759","NEU2"
"3073","HEXA"
